Date__(UT)__HR:MN,R.A._(ICRF),DEC_(ICRF),delta,deldot
 2022-Jul-13 00:00,33.39546,11.52153,1.233945782,-9.1837562
 2022-Jul-14 00:00,34.05533,11.752,1.228640267,-9.1901627
 2022-Jul-15 00:00,34.71456,11.98034,1.223330693,-9.1978161
 2022-Jul-16 00:00,35.37312,12.20651,1.218016343,-9.2066978
 2022-Jul-17 00:00,36.03099,12.4305,1.21269653,-9.2167173
 2022-Jul-18 00:00,36.68813,12.65226,1.207370634,-9.227738
 2022-Jul-19 00:00,37.34448,12.87177,1.202038122,-9.2396056
 2022-Jul-20 00:00,38.00002,13.089,1.196698549,-9.2521702
 2022-Jul-21 00:00,38.65468,13.30392,1.191351552,-9.2652979
 2022-Jul-22 00:00,39.30842,13.5165,1.185996839,-9.2788736
 2022-Jul-23 00:00,39.9612,13.7267,1.180634181,-9.2927997
 2022-Jul-24 00:00,40.61295,13.93452,1.1752634,-9.3069919
 2022-Jul-25 00:00,41.26362,14.13991,1.169884365,-9.3213756
 2022-Jul-26 00:00,41.91317,14.34286,1.164496984,-9.3358831
 2022-Jul-27 00:00,42.56154,14.54334,1.159101205,-9.3504524
 2022-Jul-28 00:00,43.20867,14.74134,1.153697008,-9.3650272
 2022-Jul-29 00:00,43.85451,14.93683,1.148284405,-9.3795583
 2022-Jul-30 00:00,44.49901,15.1298,1.142863433,-9.3940056
 2022-Jul-31 00:00,45.14211,15.32024,1.137434149,-9.4083397
 2022-Aug-01 00:00,45.78376,15.50814,1.131996624,-9.4225444
 2022-Aug-02 00:00,46.4239,15.69347,1.126550934,-9.4366182
 2022-Aug-03 00:00,47.0625,15.87624,1.121097152,-9.4505767
 2022-Aug-04 00:00,47.69948,16.05643,1.115635333,-9.4644548
 2022-Aug-05 00:00,48.33481,16.23405,1.11016551,-9.4783101
 2022-Aug-06 00:00,48.96844,16.40909,1.104687673,-9.492227
 2022-Aug-07 00:00,49.60032,16.58154,1.099201754,-9.5063193
 2022-Aug-08 00:00,50.23041,16.75142,1.093707613,-9.52073
 2022-Aug-09 00:00,50.85865,16.91872,1.088205018,-9.5356224
 2022-Aug-10 00:00,51.485,17.08345,1.082693644,-9.5511629
 2022-Aug-11 00:00,52.1094,17.2456,1.077173072,-9.5674932
 2022-Aug-12 00:00,52.73179,17.40517,1.071642819,-9.5847018
 2022-Aug-13 00:00,53.35211,17.56218,1.066102368,-9.602804
 2022-Aug-14 00:00,53.97027,17.71661,1.060551218,-9.6217398
 2022-Aug-15 00:00,54.58619,17.86846,1.054988919,-9.6413898
 2022-Aug-16 00:00,55.19978,18.01773,1.049415103,-9.6616003
 2022-Aug-17 00:00,55.81095,18.16443,1.043829492,-9.6822084
 2022-Aug-18 00:00,56.41959,18.30854,1.038231903,-9.7030586
 2022-Aug-19 00:00,57.02559,18.45008,1.032622237,-9.7240113
 2022-Aug-20 00:00,57.62887,18.58904,1.02700047,-9.7449435
 2022-Aug-21 00:00,58.22929,18.72543,1.021366647,-9.7657462
 2022-Aug-22 00:00,58.82677,18.85926,1.015720872,-9.7863202
 2022-Aug-23 00:00,59.42118,18.99053,1.010063304,-9.8065718
 2022-Aug-24 00:00,60.01241,19.11925,1.004394155,-9.8264103
 2022-Aug-25 00:00,60.60036,19.24544,0.998713689,-9.8457472
 2022-Aug-26 00:00,61.1849,19.36911,0.993022222,-9.8644967
 2022-Aug-27 00:00,61.76593,19.49028,0.987320115,-9.8825792
 2022-Aug-28 00:00,62.34333,19.60896,0.981607775,-9.8999247
 2022-Aug-29 00:00,62.91699,19.72518,0.975885644,-9.9164778
 2022-Aug-30 00:00,63.48679,19.83896,0.970154191,-9.9322027
 2022-Aug-31 00:00,64.05263,19.95033,0.964413899,-9.9470863
 2022-Sep-01 00:00,64.61439,20.05931,0.958665253,-9.9611412
 2022-Sep-02 00:00,65.17197,20.16594,0.952908719,-9.9744068
 2022-Sep-03 00:00,65.72526,20.27024,0.947144736,-9.9869499
 2022-Sep-04 00:00,66.27416,20.37225,0.941373696,-9.998863
 2022-Sep-05 00:00,66.81857,20.47201,0.935595931,-10.0102606
 2022-Sep-06 00:00,67.35838,20.56955,0.929811701,-10.0212718
 2022-Sep-07 00:00,67.89347,20.66491,0.924021191,-10.0320266
 2022-Sep-08 00:00,68.42374,20.75812,0.918224516,-10.0426367
 2022-Sep-09 00:00,68.94907,20.84923,0.912421736,-10.0531734
 2022-Sep-10 00:00,69.46933,20.93826,0.906612887,-10.0636496
 2022-Sep-11 00:00,69.98437,21.02525,0.900798016,-10.0740115
 2022-Sep-12 00:00,70.49404,21.11025,0.89497722,-10.0841445
 2022-Sep-13 00:00,70.9982,21.19327,0.889150675,-10.0938898
 2022-Sep-14 00:00,71.49666,21.27436,0.883318656,-10.1030655
 2022-Sep-15 00:00,71.98926,21.35356,0.877481547,-10.1114848
 2022-Sep-16 00:00,72.47582,21.43091,0.871639837,-10.1189685
 2022-Sep-17 00:00,72.95616,21.50644,0.865794114,-10.1253499
 2022-Sep-18 00:00,73.43009,21.58019,0.859945061,-10.1304745
 2022-Sep-19 00:00,73.89743,21.65222,0.854093446,-10.1341969
 2022-Sep-20 00:00,74.35797,21.72256,0.848240119,-10.1363766
 2022-Sep-21 00:00,74.81153,21.79126,0.842386011,-10.1368742
 2022-Sep-22 00:00,75.25792,21.85837,0.836532134,-10.135549
 2022-Sep-23 00:00,75.69693,21.92394,0.830679582,-10.1322589
 2022-Sep-24 00:00,76.12837,21.98802,0.82482953,-10.1268625
 2022-Sep-25 00:00,76.55204,22.05067,0.818983235,-10.1192247
 2022-Sep-26 00:00,76.96773,22.11193,0.813142026,-10.109224
 2022-Sep-27 00:00,77.37526,22.17187,0.807307299,-10.0967615
 2022-Sep-28 00:00,77.77442,22.23054,0.801480495,-10.0817684
 2022-Sep-29 00:00,78.16502,22.28801,0.795663089,-10.0642113
 2022-Sep-30 00:00,78.54689,22.34433,0.789856561,-10.0440929
 2022-Oct-01 00:00,78.91982,22.39957,0.784062382,-10.0214477
 2022-Oct-02 00:00,79.28363,22.45379,0.778281996,-9.9963344
 2022-Oct-03 00:00,79.63815,22.50704,0.772516806,-9.9688252
 2022-Oct-04 00:00,79.98317,22.55939,0.766768176,-9.9389941
 2022-Oct-05 00:00,80.31851,22.61091,0.761037428,-9.9069036
 2022-Oct-06 00:00,80.64397,22.66164,0.755325853,-9.8725905
 2022-Oct-07 00:00,80.95935,22.71165,0.749634733,-9.8360528
 2022-Oct-08 00:00,81.26442,22.76099,0.743965367,-9.7972379
 2022-Oct-09 00:00,81.55896,22.80972,0.738319097,-9.7560374
 2022-Oct-10 00:00,81.84274,22.85788,0.732697346,-9.7122887
 2022-Oct-11 00:00,82.11549,22.90554,0.727101643,-9.665785
 2022-Oct-12 00:00,82.37697,22.95273,0.721533647,-9.61629
 2022-Oct-13 00:00,82.62692,22.99951,0.715995157,-9.5635528
 2022-Oct-14 00:00,82.86505,23.04592,0.710488118,-9.5073214
 2022-Oct-15 00:00,83.09111,23.09201,0.70501462,-9.4473498
 2022-Oct-16 00:00,83.30482,23.13783,0.699576891,-9.3834013
 2022-Oct-17 00:00,83.50591,23.18341,0.694177295,-9.3152475
 2022-Oct-18 00:00,83.69411,23.2288,0.688818325,-9.2426656
 2022-Oct-19 00:00,83.86915,23.27404,0.683502601,-9.1654344
 2022-Oct-20 00:00,84.03075,23.31916,0.678232873,-9.0833322
 2022-Oct-21 00:00,84.17867,23.3642,0.673012018,-8.996135
 2022-Oct-22 00:00,84.31263,23.40919,0.667843043,-8.9036189
 2022-Oct-23 00:00,84.43241,23.45416,0.662729085,-8.8055658
 2022-Oct-24 00:00,84.53775,23.49913,0.657673399,-8.7017734
 2022-Oct-25 00:00,84.62843,23.54413,0.652679352,-8.5920686
 2022-Oct-26 00:00,84.70424,23.58917,0.647750399,-8.4763211
 2022-Oct-27 00:00,84.765,23.63427,0.642890054,-8.3544546
 2022-Oct-28 00:00,84.81053,23.67945,0.63810186,-8.2264479
 2022-Oct-29 00:00,84.84067,23.72469,0.633389357,-8.0923277
 2022-Oct-30 00:00,84.8553,23.77001,0.62875606,-7.9521513
 2022-Oct-31 00:00,84.8543,23.8154,0.624205447,-7.8059856
 2022-Nov-01 00:00,84.83755,23.86084,0.61974096,-7.6538876
 2022-Nov-02 00:00,84.80497,23.90631,0.615366015,-7.4958893
 2022-Nov-03 00:00,84.75648,23.95179,0.611084017,-7.3319883
 2022-Nov-04 00:00,84.692,23.99724,0.606898386,-7.1621436
 2022-Nov-05 00:00,84.61148,24.04262,0.602812576,-6.9862746
 2022-Nov-06 00:00,84.51487,24.08787,0.598830098,-6.8042634
 2022-Nov-07 00:00,84.40215,24.13295,0.594954542,-6.6159608
 2022-Nov-08 00:00,84.27331,24.17779,0.59118959,-6.4211946
 2022-Nov-09 00:00,84.12835,24.22231,0.587539027,-6.2197812
 2022-Nov-10 00:00,83.96731,24.26644,0.584006746,-6.0115381
 2022-Nov-11 00:00,83.79027,24.3101,0.580596742,-5.7962947
 2022-Nov-12 00:00,83.59732,24.35319,0.5773131,-5.5739022
 2022-Nov-13 00:00,83.38859,24.39562,0.574159988,-5.3442381
 2022-Nov-14 00:00,83.16426,24.4373,0.571141634,-5.1072094
 2022-Nov-15 00:00,82.92455,24.47812,0.568262309,-4.8627518
 2022-Nov-16 00:00,82.66973,24.51798,0.565526318,-4.6108284
 2022-Nov-17 00:00,82.4001,24.55676,0.562937976,-4.3514283
 2022-Nov-18 00:00,82.11601,24.59435,0.560501599,-4.0845663
 2022-Nov-19 00:00,81.81789,24.63065,0.558221486,-3.8102851
 2022-Nov-20 00:00,81.50618,24.66555,0.5561019,-3.5286619
 2022-Nov-21 00:00,81.18139,24.69893,0.554147051,-3.2398192
 2022-Nov-22 00:00,80.84411,24.73069,0.552361058,-2.9439405
 2022-Nov-23 00:00,80.49495,24.76073,0.550747913,-2.6412867
 2022-Nov-24 00:00,80.1346,24.78895,0.549311433,-2.3322096
 2022-Nov-25 00:00,79.7638,24.81526,0.548055205,-2.0171515
 2022-Nov-26 00:00,79.38333,24.83959,0.546982536,-1.6966292
 2022-Nov-27 00:00,78.99403,24.86185,0.546096423,-1.3712013
 2022-Nov-28 00:00,78.59675,24.88199,0.545399536,-1.0414309
 2022-Nov-29 00:00,78.19238,24.89994,0.544894227,-0.7078531
 2022-Nov-30 00:00,77.78182,24.91567,0.544582551,-0.3709571
 2022-Dec-01 00:00,77.366,24.92914,0.544466297,-0.0311825
 2022-Dec-02 00:00,76.94584,24.94032,0.544547011,0.3110751
 2022-Dec-03 00:00,76.52227,24.94919,0.544826022,0.6554547
 2022-Dec-04 00:00,76.09622,24.95576,0.545304458,1.0016203
 2022-Dec-05 00:00,75.66863,24.96003,0.545983258,1.3492531
 2022-Dec-06 00:00,75.24042,24.96202,0.546863181,1.6980455
 2022-Dec-07 00:00,74.81252,24.96178,0.54794481,2.0476948
 2022-Dec-08 00:00,74.38586,24.95934,0.549228552,2.3978993
 2022-Dec-09 00:00,73.96134,24.95477,0.550714642,2.7483532
 2022-Dec-10 00:00,73.53986,24.94813,0.552403133,3.0987441
 2022-Dec-11 00:00,73.1223,24.93952,0.554293898,3.4487511
 2022-Dec-12 00:00,72.70954,24.92903,0.556386621,3.798046
 2022-Dec-13 00:00,72.30242,24.91677,0.558680795,4.146295
 2022-Dec-14 00:00,71.90176,24.90285,0.56117572,4.4931627
 2022-Dec-15 00:00,71.50836,24.88739,0.563870501,4.8383153
 2022-Dec-16 00:00,71.123,24.87055,0.566764053,5.181423
 2022-Dec-17 00:00,70.7464,24.85244,0.569855102,5.5221606
 2022-Dec-18 00:00,70.37929,24.83323,0.573142185,5.860204
 2022-Dec-19 00:00,70.02233,24.81307,0.576623652,6.1952226
 2022-Dec-20 00:00,69.67617,24.79211,0.580297656,6.5268677
 2022-Dec-21 00:00,69.34142,24.77052,0.584162143,6.8547593
 2022-Dec-22 00:00,69.01864,24.74845,0.588214825,7.1784768
 2022-Dec-23 00:00,68.70837,24.72608,0.59245316,7.4975619
 2022-Dec-24 00:00,68.4111,24.70355,0.596874337,7.8115397
 2022-Dec-25 00:00,68.12727,24.68104,0.601475273,8.1199586
 2022-Dec-26 00:00,67.85727,24.6587,0.606252643,8.4224341
 2022-Dec-27 00:00,67.60144,24.63666,0.611202927,8.7186823
 2022-Dec-28 00:00,67.36004,24.61507,0.616322473,9.0085298
 2022-Dec-29 00:00,67.13331,24.59405,0.621607559,9.2919012
 2022-Dec-30 00:00,66.9214,24.57373,0.627054442,9.5687959
 2022-Dec-31 00:00,66.72446,24.55421,0.632659393,9.8392628
 2023-Jan-01 00:00,66.54256,24.53559,0.638418722,10.1033814
 2023-Jan-02 00:00,66.37574,24.51796,0.64432879,10.3612486
 2023-Jan-03 00:00,66.22404,24.50141,0.650386018,10.6129722
 2023-Jan-04 00:00,66.08742,24.486,0.656586889,10.8586662
 2023-Jan-05 00:00,65.96586,24.47181,0.662927956,11.0984484
 2023-Jan-06 00:00,65.8593,24.45889,0.669405838,11.3324384
 2023-Jan-07 00:00,65.76764,24.4473,0.676017224,11.5607546
 2023-Jan-08 00:00,65.69079,24.43708,0.682758871,11.783512
 2023-Jan-09 00:00,65.62865,24.42827,0.689627601,12.0008203
 2023-Jan-10 00:00,65.58107,24.42089,0.696620296,12.2127827
 2023-Jan-11 00:00,65.54793,24.41498,0.703733898,12.4194953
 2023-Jan-12 00:00,65.52906,24.41055,0.710965399,12.6210469
 2023-Jan-13 00:00,65.52433,24.40761,0.718311843,12.8175188
 2023-Jan-14 00:00,65.53356,24.40619,0.725770317,13.0089832
 2023-Jan-15 00:00,65.55658,24.40627,0.733337948,13.1955
 2023-Jan-16 00:00,65.59323,24.40786,0.74101189,13.3771102
 2023-Jan-17 00:00,65.64333,24.41096,0.748789315,13.5538269
 2023-Jan-18 00:00,65.7067,24.41555,0.756667392,13.7256254
 2023-Jan-19 00:00,65.78316,24.42163,0.764643262,13.8924349
 2023-Jan-20 00:00,65.87253,24.42917,0.772714012,14.0541399
 2023-Jan-21 00:00,65.97464,24.43816,0.780876653,14.2105973
 2023-Jan-22 00:00,66.08928,24.44856,0.789128113,14.3616694
 2023-Jan-23 00:00,66.21627,24.46036,0.797465253,14.507267
 2023-Jan-24 00:00,66.35537,24.4735,0.805884904,14.6473832
 2023-Jan-25 00:00,66.50638,24.48796,0.814383921,14.7821049
 2023-Jan-26 00:00,66.66905,24.50367,0.822959233,14.9115987
 2023-Jan-27 00:00,66.84314,24.5206,0.831607881,15.0360825
 2023-Jan-28 00:00,67.02841,24.53867,0.840327042,15.1557953
 2023-Jan-29 00:00,67.2246,24.55785,0.849114028,15.2709754
 2023-Jan-30 00:00,67.43148,24.57806,0.857966287,15.3818485
 2023-Jan-31 00:00,67.64878,24.59924,0.866881393,15.4886236
 2023-Feb-01 00:00,67.87629,24.62134,0.875857035,15.5914934
 2023-Feb-02 00:00,68.11375,24.64429,0.88489101,15.6906369
 2023-Feb-03 00:00,68.36093,24.66803,0.893981214,15.7862212
 2023-Feb-04 00:00,68.61762,24.69249,0.903125637,15.8784034
 2023-Feb-05 00:00,68.88358,24.71761,0.912322358,15.9673297
 2023-Feb-06 00:00,69.15862,24.74333,0.921569535,16.0531354
 2023-Feb-07 00:00,69.44251,24.76959,0.930865402,16.1359429
 2023-Feb-08 00:00,69.73506,24.79632,0.940208259,16.2158602
 2023-Feb-09 00:00,70.03607,24.82347,0.949596464,16.2929794
 2023-Feb-10 00:00,70.34536,24.85096,0.959028423,16.3673758
 2023-Feb-11 00:00,70.66275,24.87875,0.968502581,16.4391063
 2023-Feb-12 00:00,70.98806,24.90677,0.97801741,16.5082078
 2023-Feb-13 00:00,71.32113,24.93496,0.987571397,16.5746938
 2023-Feb-14 00:00,71.6618,24.96328,0.997163028,16.6385499
 2023-Feb-15 00:00,72.00991,24.99165,1.006790772,16.6997284
 2023-Feb-16 00:00,72.36533,25.02002,1.016453059,16.7581435
 2023-Feb-17 00:00,72.72791,25.04834,1.026148261,16.8136729
 2023-Feb-18 00:00,73.0975,25.07655,1.035874667,16.866169
 2023-Feb-19 00:00,73.47398,25.10459,1.045630483,16.9154831
 2023-Feb-20 00:00,73.8572,25.13241,1.055413835,16.9614992
 2023-Feb-21 00:00,74.24702,25.15996,1.065222799,17.0041677
 2023-Feb-22 00:00,74.64329,25.18716,1.075055448,17.0435222
 2023-Feb-23 00:00,75.04586,25.21397,1.084909897,17.0796753
 2023-Feb-24 00:00,75.45456,25.24032,1.094784343,17.1127949
 2023-Feb-25 00:00,75.86925,25.26615,1.104677089,17.1430747
 2023-Feb-26 00:00,76.28977,25.29141,1.114586552,17.1707094
 2023-Feb-27 00:00,76.71596,25.31604,1.124511257,17.1958796
 2023-Feb-28 00:00,77.14768,25.33999,1.134449829,17.2187462
 2023-Mar-01 00:00,77.58477,25.36319,1.144400977,17.2394512
 2023-Mar-02 00:00,78.02709,25.3856,1.154363491,17.2581211
 2023-Mar-03 00:00,78.47451,25.40716,1.16433623,17.2748714
 2023-Mar-04 00:00,78.92689,25.42782,1.174318115,17.2898096
 2023-Mar-05 00:00,79.3841,25.44753,1.184308131,17.3030374
 2023-Mar-06 00:00,79.84602,25.46625,1.194305316,17.3146502
 2023-Mar-07 00:00,80.31252,25.48393,1.204308764,17.3247358
 2023-Mar-08 00:00,80.78348,25.50052,1.214317615,17.3333708
 2023-Mar-09 00:00,81.25881,25.51598,1.224331051,17.3406174
 2023-Mar-10 00:00,81.73838,25.53027,1.234348282,17.3465192
 2023-Mar-11 00:00,82.22211,25.54334,1.24436854,17.3510984
 2023-Mar-12 00:00,82.70988,25.55515,1.254391062,17.3543527
 2023-Mar-13 00:00,83.20162,25.56567,1.264415074,17.3562539
 2023-Mar-14 00:00,83.69723,25.57486,1.274439782,17.3567466
 2023-Mar-15 00:00,84.19663,25.58268,1.284464348,17.3557468
