Date__(UT)__HR:MN, , ,R.A._(ICRF),DEC_(ICRF),delta,deldot,
 2021-Nov-16 00:00, , ,    51.15505,   18.65604,  0.98898244611389, -0.3849396,
 2021-Nov-17 00:00, , ,    52.18625,   18.90451,  0.98876230671377, -0.3773309,
 2021-Nov-18 00:00, , ,    53.22090,   19.14737,  0.98854664486424, -0.3694469,
 2021-Nov-19 00:00, , ,    54.25898,   19.38451,  0.98833559777273, -0.3613628,
 2021-Nov-20 00:00, , ,    55.30049,   19.61584,  0.98812925974375, -0.3531519,
 2021-Nov-21 00:00, , ,    56.34541,   19.84126,  0.98792768352536, -0.3448846,
 2021-Nov-22 00:00, , ,    57.39370,   20.06068,  0.98773088219019, -0.3366277,
 2021-Nov-23 00:00, , ,    58.44535,   20.27399,  0.98753883132121, -0.3284444,
 2021-Nov-24 00:00, , ,    59.50031,   20.48111,  0.98735147112873, -0.3203941,
 2021-Nov-25 00:00, , ,    60.55854,   20.68193,  0.98716870810205, -0.3125343,
 2021-Nov-26 00:00, , ,    61.62000,   20.87638,  0.98699041594369, -0.3049213,
 2021-Nov-27 00:00, , ,    62.68464,   21.06434,  0.98681643586754, -0.2976112,
 2021-Nov-28 00:00, , ,    63.75238,   21.24575,  0.98664657687481, -0.2906593,
 2021-Nov-29 00:00, , ,    64.82318,   21.42050,  0.98648061734392, -0.2841153,
 2021-Nov-30 00:00, , ,    65.89694,   21.58850,  0.98631831008547, -0.2780162,
 2021-Dec-01 00:00, , ,    66.97359,   21.74968,  0.98615939361030, -0.2723720,
 2021-Dec-02 00:00, , ,    68.05303,   21.90395,  0.98600361207889, -0.2671503,
 2021-Dec-03 00:00, , ,    69.13516,   22.05122,  0.98585074437275, -0.2622617,
 2021-Dec-04 00:00, , ,    70.21986,   22.19141,  0.98570063860576, -0.2575565,
 2021-Dec-05 00:00, , ,    71.30701,   22.32444,  0.98555324357315, -0.2528398,
 2021-Dec-06 00:00, , ,    72.39648,   22.45025,  0.98540862652324, -0.2479027,
 2021-Dec-07 00:00, , ,    73.48814,   22.56875,  0.98526697021567, -0.2425599,
 2021-Dec-08 00:00, , ,    74.58186,   22.67989,  0.98512855037521, -0.2366780,
 2021-Dec-09 00:00, , ,    75.67752,   22.78359,  0.98499370205744, -0.2301850,
 2021-Dec-10 00:00, , ,    76.77498,   22.87981,  0.98486278551002, -0.2230635,
 2021-Dec-11 00:00, , ,    77.87412,   22.96850,  0.98473615894584, -0.2153351,
 2021-Dec-12 00:00, , ,    78.97482,   23.04961,  0.98461416071175, -0.2070447,
 2021-Dec-13 00:00, , ,    80.07696,   23.12309,  0.98449709967706, -0.1982478,
 2021-Dec-14 00:00, , ,    81.18040,   23.18891,  0.98438525115367, -0.1890043,
 2021-Dec-15 00:00, , ,    82.28504,   23.24703,  0.98427885570247, -0.1793744,
 2021-Dec-16 00:00, , ,    83.39073,   23.29743,  0.98417811890667, -0.1694190,
 2021-Dec-17 00:00, , ,    84.49737,   23.34008,  0.98408321102209, -0.1591999,
 2021-Dec-18 00:00, , ,    85.60482,   23.37495,  0.98399426609560, -0.1487807,
 2021-Dec-19 00:00, , ,    86.71297,   23.40203,  0.98391138060546, -0.1382279,
 2021-Dec-20 00:00, , ,    87.82167,   23.42130,  0.98383461192282, -0.1276104,
 2021-Dec-21 00:00, , ,    88.93082,   23.43275,  0.98376397694271, -0.1169994,
 2021-Dec-22 00:00, , ,    90.04027,   23.43636,  0.98369945113005, -0.1064670,
 2021-Dec-23 00:00, , ,    91.14991,   23.43215,  0.98364096804165, -0.0960861,
 2021-Dec-24 00:00, , ,    92.25960,   23.42010,  0.98358841921600, -0.0859293,
 2021-Dec-25 00:00, , ,    93.36922,   23.40021,  0.98354165427360, -0.0760690,
 2021-Dec-26 00:00, , ,    94.47862,   23.37250,  0.98350048123054, -0.0665768,
 2021-Dec-27 00:00, , ,    95.58769,   23.33697,  0.98346466745157, -0.0575214,
 2021-Dec-28 00:00, , ,    96.69627,   23.29364,  0.98343394234936, -0.0489645,
 2021-Dec-29 00:00, , ,    97.80425,   23.24252,  0.98340800374609, -0.0409520,
 2021-Dec-30 00:00, , ,    98.91146,   23.18364,  0.98338653039674, -0.0335014,
 2021-Dec-31 00:00, , ,   100.01777,   23.11701,  0.98336920286075, -0.0265865,
 2022-Jan-01 00:00, , ,   101.12303,   23.04267,  0.98335573289426, -0.0201241,
 2022-Jan-02 00:00, , ,   102.22708,   22.96065,  0.98334589761073, -0.0139718,
 2022-Jan-03 00:00, , ,   103.32978,   22.87099,  0.98333957027774, -0.0079429,
 2022-Jan-04 00:00, , ,   104.43096,   22.77373,  0.98333673794068, -0.0018361,
 2022-Jan-05 00:00, , ,   105.53048,   22.66893,  0.98333749960160,  0.0045296,
 2022-Jan-06 00:00, , ,   106.62819,   22.55663,  0.98334204615517,  0.0112884,
 2022-Jan-07 00:00, , ,   107.72397,   22.43689,  0.98335062990416,  0.0185186,
 2022-Jan-08 00:00, , ,   108.81769,   22.30978,  0.98336353329726,  0.0262482,
 2022-Jan-09 00:00, , ,   109.90923,   22.17536,  0.98338104373318,  0.0344688,
 2022-Jan-10 00:00, , ,   110.99848,   22.03370,  0.98340343688394,  0.0431504,
 2022-Jan-11 00:00, , ,   112.08535,   21.88487,  0.98343096764837,  0.0522527,
 2022-Jan-12 00:00, , ,   113.16975,   21.72894,  0.98346386635373,  0.0617317,
 2022-Jan-13 00:00, , ,   114.25157,   21.56600,  0.98350233771028,  0.0715429,
 2022-Jan-14 00:00, , ,   115.33075,   21.39611,  0.98354656055531,  0.0816410,
 2022-Jan-15 00:00, , ,   116.40721,   21.21937,  0.98359668710522,  0.0919787,
 2022-Jan-16 00:00, , ,   117.48088,   21.03584,  0.98365284105565,  0.1025043,
 2022-Jan-17 00:00, , ,   118.55170,   20.84563,  0.98371511438285,  0.1131593,
 2022-Jan-18 00:00, , ,   119.61961,   20.64882,  0.98378356310414,  0.1238774,
 2022-Jan-19 00:00, , ,   120.68456,   20.44549,  0.98385820254032,  0.1345841,
 2022-Jan-20 00:00, , ,   121.74651,   20.23574,  0.98393900275856,  0.1451975,
 2022-Jan-21 00:00, , ,   122.80541,   20.01965,  0.98402588484295,  0.1556302,
 2022-Jan-22 00:00, , ,   123.86122,   19.79733,  0.98411871847182,  0.1657921,
 2022-Jan-23 00:00, , ,   124.91391,   19.56886,  0.98421732107389,  0.1755928,
 2022-Jan-24 00:00, , ,   125.96345,   19.33434,  0.98432145873276,  0.1849455,
 2022-Jan-25 00:00, , ,   127.00982,   19.09387,  0.98443084913758,  0.1937702,
 2022-Jan-26 00:00, , ,   128.05298,   18.84754,  0.98454516727250,  0.2020001,
 2022-Jan-27 00:00, , ,   129.09290,   18.59547,  0.98466405506531,  0.2095892,
 2022-Jan-28 00:00, , ,   130.12956,   18.33775,  0.98478713652285,  0.2165233,
 2022-Jan-29 00:00, , ,   131.16293,   18.07448,  0.98491403941725,  0.2228315,
 2022-Jan-30 00:00, , ,   132.19298,   17.80578,  0.98504442285354,  0.2285939,
 2022-Jan-31 00:00, , ,   133.21968,   17.53176,  0.98517800714094,  0.2339412,
 2022-Feb-01 00:00, , ,   134.24300,   17.25253,  0.98531459955484,  0.2390406,
 2022-Feb-02 00:00, , ,   135.26292,   16.96821,  0.98545410891733,  0.2440719,
 2022-Feb-03 00:00, , ,   136.27942,   16.67892,  0.98559654478531,  0.2491998,
 2022-Feb-04 00:00, , ,   137.29248,   16.38477,  0.98574200231220,  0.2545535,
 2022-Feb-05 00:00, , ,   138.30211,   16.08590,  0.98589063845447,  0.2602175,
 2022-Feb-06 00:00, , ,   139.30829,   15.78241,  0.98604264665057,  0.2662348,
 2022-Feb-07 00:00, , ,   140.31106,   15.47442,  0.98619823541097,  0.2726165,
 2022-Feb-08 00:00, , ,   141.31041,   15.16206,  0.98635761324206,  0.2793534,
 2022-Feb-09 00:00, , ,   142.30638,   14.84544,  0.98652097975523,  0.2864251,
 2022-Feb-10 00:00, , ,   143.29901,   14.52468,  0.98668852140416,  0.2938072,
 2022-Feb-11 00:00, , ,   144.28831,   14.19990,  0.98686040989216,  0.3014735,
 2022-Feb-12 00:00, , ,   145.27435,   13.87122,  0.98703680145529,  0.3093962,
 2022-Feb-13 00:00, , ,   146.25716,   13.53874,  0.98721783560371,  0.3175448,
 2022-Feb-14 00:00, , ,   147.23679,   13.20259,  0.98740363232981,  0.3258817,
 2022-Feb-15 00:00, , ,   148.21330,   12.86288,  0.98759428724196,  0.3343593,
 2022-Feb-16 00:00, , ,   149.18674,   12.51971,  0.98778986458560,  0.3429162,
 2022-Feb-17 00:00, , ,   150.15720,   12.17321,  0.98799038867288,  0.3514753,
 2022-Feb-18 00:00, , ,   151.12472,   11.82348,  0.98819583478629,  0.3599442,
 2022-Feb-19 00:00, , ,   152.08938,   11.47062,  0.98840612100583,  0.3682180,
 2022-Feb-20 00:00, , ,   153.05125,   11.11476,  0.98862110247649,  0.3761846,
 2022-Feb-21 00:00, , ,   154.01041,   10.75599,  0.98884056932926,  0.3837322,
 2022-Feb-22 00:00, , ,   154.96693,   10.39442,  0.98906424891663,  0.3907567,
 2022-Feb-23 00:00, , ,   155.92089,   10.03016,  0.98929181248036,  0.3971690,
 2022-Feb-24 00:00, , ,   156.87234,    9.66332,  0.98952288606778,  0.4029028,
 2022-Feb-25 00:00, , ,   157.82136,    9.29400,  0.98975706548784,  0.4079209,
 2022-Feb-26 00:00, , ,   158.76802,    8.92232,  0.98999393511801,  0.4122218,
 2022-Feb-27 00:00, , ,   159.71238,    8.54839,  0.99023309005867,  0.4158448,
 2022-Feb-28 00:00, , ,   160.65450,    8.17232,  0.99047416021146,  0.4188709,
 2022-Mar-01 00:00, , ,   161.59443,    7.79423,  0.99071683349040,  0.4214186,
 2022-Mar-02 00:00, , ,   162.53224,    7.41424,  0.99096087427399,  0.4236317,
 2022-Mar-03 00:00, , ,   163.46797,    7.03246,  0.99120613333262,  0.4256624,
 2022-Mar-04 00:00, , ,   164.40169,    6.64902,  0.99145254727056,  0.4276530,
 2022-Mar-05 00:00, , ,   165.33346,    6.26402,  0.99170012837623,  0.4297214,
 2022-Mar-06 00:00, , ,   166.26335,    5.87758,  0.99194894826564,  0.4319546,
 2022-Mar-07 00:00, , ,   167.19142,    5.48983,  0.99219911967362,  0.4344087,
 2022-Mar-08 00:00, , ,   168.11775,    5.10087,  0.99245078006378,  0.4371143,
 2022-Mar-09 00:00, , ,   169.04241,    4.71081,  0.99270407913132,  0.4400843,
 2022-Mar-10 00:00, , ,   169.96548,    4.31977,  0.99295917065149,  0.4433212,
 2022-Mar-11 00:00, , ,   170.88704,    3.92785,  0.99321620799239,  0.4468218,
 2022-Mar-12 00:00, , ,   171.80719,    3.53516,  0.99347534203038,  0.4505809,
 2022-Mar-13 00:00, , ,   172.72599,    3.14181,  0.99373672001578,  0.4545910,
 2022-Mar-14 00:00, , ,   173.64355,    2.74789,  0.99400048394967,  0.4588408,
 2022-Mar-15 00:00, , ,   174.55996,    2.35352,  0.99426676715602,  0.4633108,
 2022-Mar-16 00:00, , ,   175.47531,    1.95879,  0.99453568798760,  0.4679677,
 2022-Mar-17 00:00, , ,   176.38969,    1.56380,  0.99480734009020,  0.4727582,
 2022-Mar-18 00:00, , ,   177.30320,    1.16864,  0.99508177946841,  0.4776047,
 2022-Mar-19 00:00, , ,   178.21595,    0.77342,  0.99535900971681,  0.4824035,
 2022-Mar-20 00:00, , ,   179.12804,    0.37822,  0.99563896792464,  0.4870290,
 2022-Mar-21 00:00, , ,   180.03956,   -0.01686,  0.99592151441623,  0.4913431,
 2022-Mar-22 00:00, , ,   180.95062,   -0.41173,  0.99620642916659,  0.4952080,
 2022-Mar-23 00:00, , ,   181.86131,   -0.80630,  0.99649341636375,  0.4985013,
 2022-Mar-24 00:00, , ,   182.77174,   -1.20048,  0.99678211671586,  0.5011274,
 2022-Mar-25 00:00, , ,   183.68199,   -1.59417,  0.99707212556671,  0.5030256,
 2022-Mar-26 00:00, , ,   184.59214,   -1.98727,  0.99736301426028,  0.5041737,
 2022-Mar-27 00:00, , ,   185.50229,   -2.37968,  0.99765435243259,  0.5045879,
 2022-Mar-28 00:00, , ,   186.41251,   -2.77131,  0.99794572949597,  0.5043198,
 2022-Mar-29 00:00, , ,   187.32286,   -3.16206,  0.99823677399545,  0.5034523,
 2022-Mar-30 00:00, , ,   188.23343,   -3.55181,  0.99852716958383,  0.5020920,
 2022-Mar-31 00:00, , ,   189.14427,   -3.94047,  0.99881666629948,  0.5003605,
 2022-Apr-01 00:00, , ,   190.05546,   -4.32793,  0.99910508603154,  0.4983832,
 2022-Apr-02 00:00, , ,   190.96706,   -4.71408,  0.99939232176115,  0.4962792,
 2022-Apr-03 00:00, , ,   191.87913,   -5.09882,  0.99967833124905,  0.4941526,
 2022-Apr-04 00:00, , ,   192.79174,   -5.48205,  0.99996312687018,  0.4920880,
 2022-Apr-05 00:00, , ,   193.70496,   -5.86365,  1.00024676383577,  0.4901493,
 2022-Apr-06 00:00, , ,   194.61885,   -6.24354,  1.00052932892382,  0.4883825,
 2022-Apr-07 00:00, , ,   195.53349,   -6.62161,  1.00081093121377,  0.4868197,
 2022-Apr-08 00:00, , ,   196.44894,   -6.99776,  1.00109169550023,  0.4854839,
 2022-Apr-09 00:00, , ,   197.36527,   -7.37189,  1.00137175830637,  0.4843933,
 2022-Apr-10 00:00, , ,   198.28256,   -7.74391,  1.00165126584329,  0.4835635,
 2022-Apr-11 00:00, , ,   199.20088,   -8.11372,  1.00193037285522,  0.4830083,
 2022-Apr-12 00:00, , ,   200.12029,   -8.48123,  1.00220924098975,  0.4827373,
 2022-Apr-13 00:00, , ,   201.04088,   -8.84634,  1.00248803511644,  0.4827510,
 2022-Apr-14 00:00, , ,   201.96271,   -9.20897,  1.00276691597009,  0.4830331,
 2022-Apr-15 00:00, , ,   202.88587,   -9.56902,  1.00304602783470,  0.4835413,
 2022-Apr-16 00:00, , ,   203.81043,   -9.92641,  1.00332548100023,  0.4841990,
 2022-Apr-17 00:00, , ,   204.73647,  -10.28105,  1.00360533054808,  0.4848917,
 2022-Apr-18 00:00, , ,   205.66407,  -10.63286,  1.00388555527474,  0.4854714,
 2022-Apr-19 00:00, , ,   206.59332,  -10.98176,  1.00416604217225,  0.4857713,
 2022-Apr-20 00:00, , ,   207.52428,  -11.32765,  1.00444658153970,  0.4856272,
 2022-Apr-21 00:00, , ,   208.45703,  -11.67047,  1.00472687505465,  0.4848998,
 2022-Apr-22 00:00, , ,   209.39164,  -12.01011,  1.00500655516038,  0.4834905,
 2022-Apr-23 00:00, , ,   210.32816,  -12.34650,  1.00528521105560,  0.4813485,
 2022-Apr-24 00:00, , ,   211.26666,  -12.67954,  1.00556241583652,  0.4784679,
 2022-Apr-25 00:00, , ,   212.20718,  -13.00914,  1.00583775070572,  0.4748812,
 2022-Apr-26 00:00, , ,   213.14976,  -13.33521,  1.00611082430603,  0.4706495,
 2022-Apr-27 00:00, , ,   214.09444,  -13.65765,  1.00638128694116,  0.4658545,
 2022-Apr-28 00:00, , ,   215.04124,  -13.97637,  1.00664884024394,  0.4605912,
 2022-Apr-29 00:00, , ,   215.99020,  -14.29127,  1.00691324293453,  0.4549614,
 2022-Apr-30 00:00, , ,   216.94134,  -14.60225,  1.00717431310977,  0.4490680,
 2022-May-01 00:00, , ,   217.89468,  -14.90922,  1.00743192738020,  0.4430098,
 2022-May-02 00:00, , ,   218.85024,  -15.21208,  1.00768601726894,  0.4368775,
 2022-May-03 00:00, , ,   219.80802,  -15.51074,  1.00793656354870,  0.4307508,
 2022-May-04 00:00, , ,   220.76806,  -15.80510,  1.00818358945382,  0.4246970,
 2022-May-05 00:00, , ,   221.73035,  -16.09508,  1.00842715380837,  0.4187722,
 2022-May-06 00:00, , ,   222.69492,  -16.38059,  1.00866734499603,  0.4130231,
 2022-May-07 00:00, , ,   223.66177,  -16.66153,  1.00890427639399,  0.4074901,
 2022-May-08 00:00, , ,   224.63090,  -16.93782,  1.00913808347903,  0.4022098,
 2022-May-09 00:00, , ,   225.60233,  -17.20937,  1.00936892235373,  0.3972172,
 2022-May-10 00:00, , ,   226.57607,  -17.47610,  1.00959696895624,  0.3925458,
 2022-May-11 00:00, , ,   227.55211,  -17.73793,  1.00982241770322,  0.3882254,
 2022-May-12 00:00, , ,   228.53047,  -17.99478,  1.01004547779902,  0.3842762,
 2022-May-13 00:00, , ,   229.51114,  -18.24657,  1.01026636507386,  0.3806990,
 2022-May-14 00:00, , ,   230.49414,  -18.49323,  1.01048528734638,  0.3774631,
 2022-May-15 00:00, , ,   231.47946,  -18.73467,  1.01070242247720,  0.3744937,
 2022-May-16 00:00, , ,   232.46713,  -18.97084,  1.01091789086309,  0.3716664,
 2022-May-17 00:00, , ,   233.45714,  -19.20167,  1.01113172764316,  0.3688127,
 2022-May-18 00:00, , ,   234.44950,  -19.42708,  1.01134386253520,  0.3657405,
 2022-May-19 00:00, , ,   235.44421,  -19.64700,  1.01155411460264,  0.3622639,
 2022-May-20 00:00, , ,   236.44128,  -19.86138,  1.01176220460496,  0.3582324,
 2022-May-21 00:00, , ,   237.44068,  -20.07014,  1.01196778124948,  0.3535489,
 2022-May-22 00:00, , ,   238.44241,  -20.27321,  1.01217045349688,  0.3481723,
 2022-May-23 00:00, , ,   239.44642,  -20.47053,  1.01236982109337,  0.3421096,
 2022-May-24 00:00, , ,   240.45268,  -20.66202,  1.01256549857450,  0.3354029,
 2022-May-25 00:00, , ,   241.46115,  -20.84762,  1.01275713156512,  0.3281158,
 2022-May-26 00:00, , ,   242.47178,  -21.02726,  1.01294440654176,  0.3203248,
 2022-May-27 00:00, , ,   243.48451,  -21.20087,  1.01312705601737,  0.3121121,
 2022-May-28 00:00, , ,   244.49928,  -21.36838,  1.01330486087812,  0.3035624,
 2022-May-29 00:00, , ,   245.51602,  -21.52973,  1.01347765098666,  0.2947604,
 2022-May-30 00:00, , ,   246.53466,  -21.68487,  1.01364530459689,  0.2857887,
 2022-May-31 00:00, , ,   247.55513,  -21.83372,  1.01380774678931,  0.2767265,
 2022-Jun-01 00:00, , ,   248.57734,  -21.97624,  1.01396494705222,  0.2676482,
 2022-Jun-02 00:00, , ,   249.60123,  -22.11237,  1.01411691622529,  0.2586226,
 2022-Jun-03 00:00, , ,   250.62671,  -22.24206,  1.01426370317152,  0.2497126,
 2022-Jun-04 00:00, , ,   251.65370,  -22.36526,  1.01440539164357,  0.2409763,
 2022-Jun-05 00:00, , ,   252.68210,  -22.48192,  1.01454209778967,  0.2324681,
 2022-Jun-06 00:00, , ,   253.71184,  -22.59201,  1.01467396857407,  0.2242405,
 2022-Jun-07 00:00, , ,   254.74283,  -22.69548,  1.01480118106120,  0.2163454,
 2022-Jun-08 00:00, , ,   255.77498,  -22.79230,  1.01492394203190,  0.2088336,
 2022-Jun-09 00:00, , ,   256.80820,  -22.88244,  1.01504248676828,  0.2017522,
 2022-Jun-10 00:00, , ,   257.84241,  -22.96586,  1.01515707511697,  0.1951376,
 2022-Jun-11 00:00, , ,   258.87752,  -23.04253,  1.01526798233288,  0.1890045,
 2022-Jun-12 00:00, , ,   259.91346,  -23.11244,  1.01537548221352,  0.1833307,
 2022-Jun-13 00:00, , ,   260.95015,  -23.17557,  1.01547982141012,  0.1780422,
 2022-Jun-14 00:00, , ,   261.98751,  -23.23189,  1.01558118708527,  0.1730068,
 2022-Jun-15 00:00, , ,   263.02547,  -23.28139,  1.01567967459446,  0.1680418,
 2022-Jun-16 00:00, , ,   264.06396,  -23.32406,  1.01577526502334,  0.1629397,
 2022-Jun-17 00:00, , ,   265.10292,  -23.35988,  1.01586782102784,  0.1575039,
 2022-Jun-18 00:00, , ,   266.14227,  -23.38885,  1.01595710295512,  0.1515810,
 2022-Jun-19 00:00, , ,   267.18192,  -23.41096,  1.01604279940921,  0.1450772,
 2022-Jun-20 00:00, , ,   268.22179,  -23.42619,  1.01612456228674,  0.1379579,
 2022-Jun-21 00:00, , ,   269.26179,  -23.43455,  1.01620203757045,  0.1302346,
 2022-Jun-22 00:00, , ,   270.30181,  -23.43602,  1.01627488752784,  0.1219495,
 2022-Jun-23 00:00, , ,   271.34175,  -23.43061,  1.01634280413034,  0.1131615,
 2022-Jun-24 00:00, , ,   272.38151,  -23.41832,  1.01640551580273,  0.1039366,
 2022-Jun-25 00:00, , ,   273.42098,  -23.39915,  1.01646279011472,  0.0943439,
 2022-Jun-26 00:00, , ,   274.46005,  -23.37311,  1.01651443452929,  0.0844523,
 2022-Jun-27 00:00, , ,   275.49861,  -23.34022,  1.01656029652684,  0.0743314,
 2022-Jun-28 00:00, , ,   276.53655,  -23.30048,  1.01660026371071,  0.0640507,
 2022-Jun-29 00:00, , ,   277.57376,  -23.25391,  1.01663426401212,  0.0536803,
 2022-Jun-30 00:00, , ,   278.61014,  -23.20053,  1.01666226586559,  0.0432903,
 2022-Jul-01 00:00, , ,   279.64556,  -23.14038,  1.01668427818504,  0.0329507,
 2022-Jul-02 00:00, , ,   280.67994,  -23.07346,  1.01670035006813,  0.0227305,
 2022-Jul-03 00:00, , ,   281.71316,  -22.99981,  1.01671057030799,  0.0126982,
 2022-Jul-04 00:00, , ,   282.74512,  -22.91947,  1.01671506690378,  0.0029213,
 2022-Jul-05 00:00, , ,   283.77573,  -22.83247,  1.01671400675184, -0.0065331,
 2022-Jul-06 00:00, , ,   284.80490,  -22.73885,  1.01670759550013, -0.0155980,
 2022-Jul-07 00:00, , ,   285.83253,  -22.63865,  1.01669607712174, -0.0242080,
 2022-Jul-08 00:00, , ,   286.85854,  -22.53192,  1.01667973210454, -0.0323030,
 2022-Jul-09 00:00, , ,   287.88285,  -22.41870,  1.01665887235669, -0.0398360,
 2022-Jul-10 00:00, , ,   288.90540,  -22.29903,  1.01663383027856, -0.0467854,
 2022-Jul-11 00:00, , ,   289.92611,  -22.17298,  1.01660493955513, -0.0531711,
 2022-Jul-12 00:00, , ,   290.94495,  -22.04058,  1.01657250689917, -0.0590686,
 2022-Jul-13 00:00, , ,   291.96185,  -21.90190,  1.01653677765818, -0.0646145,
 2022-Jul-14 00:00, , ,   292.97679,  -21.75698,  1.01649790283374, -0.0699954,
 2022-Jul-15 00:00, , ,   293.98973,  -21.60589,  1.01645591768254, -0.0754199,
 2022-Jul-16 00:00, , ,   295.00063,  -21.44866,  1.01641073963924, -0.0810814,
